Produced by SQM Reader Pro 3.2.2.0
Year/Month/Day,Hour/Minute/Second,MPSAS,NELM,SerialNo,Protocol,Model,Feature,Temp(C),EncOffset,SolarAlt(deg),LunarAlt(deg),LunarPhase
2023/06/23,21:00:05,12.38,-01.3,6547,4,6,80,31.2,0.11,-05,+46,0.29
2023/06/23,21:15:05,15.46,001.7,6547,4,6,80,30.9,0.11,-08,+43,0.29
2023/06/23,21:30:05,17.80,003.8,6547,4,6,80,30.6,0.11,-10,+40,0.29
2023/06/23,21:45:05,18.22,004.2,6547,4,6,80,29.9,0.11,-13,+36,0.30
2023/06/23,22:00:05,18.32,004.2,6547,4,6,80,29.6,0.11,-15,+33,0.30
2023/06/23,22:15:05,18.31,004.2,6547,4,6,80,29.3,0.11,-18,+30,0.30
2023/06/23,22:30:05,18.21,004.1,6547,4,6,80,29.0,0.11,-20,+27,0.30
2023/06/23,22:45:05,17.95,003.9,6547,4,6,80,28.6,0.11,-22,+24,0.30
2023/06/23,23:00:05,17.81,003.8,6547,4,6,80,28.6,0.11,-25,+20,0.30
2023/06/23,23:15:05,17.74,003.7,6547,4,6,80,28.6,0.11,-27,+17,0.30
2023/06/23,23:30:05,17.72,003.7,6547,4,6,80,28.3,0.11,-28,+14,0.30
2023/06/23,23:45:05,17.93,003.9,6547,4,6,80,28.0,0.11,-30,+11,0.30
2023/06/24,00:00:05,17.80,003.8,6547,4,6,80,27.7,0.11,-32,+08,0.30
2023/06/24,00:15:05,17.86,003.9,6547,4,6,80,27.3,0.11,-33,+05,0.30
2023/06/24,00:30:05,17.81,003.8,6547,4,6,80,27.0,0.11,-34,+01,0.31
2023/06/24,00:45:05,17.32,003.4,6547,4,6,80,26.7,0.11,-35,-02,0.31
2023/06/24,01:00:05,16.83,002.9,6547,4,6,80,26.4,0.11,-36,-05,0.31
2023/06/24,01:15:05,17.49,003.5,6547,4,6,80,26.4,0.11,-36,-08,0.31
2023/06/24,01:30:05,17.07,003.2,6547,4,6,80,26.1,0.11,-36,-11,0.31
2023/06/24,01:45:05,17.08,003.2,6547,4,6,80,26.1,0.11,-36,-14,0.31
2023/06/24,02:00:05,17.10,003.2,6547,4,6,80,25.7,0.11,-36,-17,0.31
2023/06/24,02:15:05,17.23,003.3,6547,4,6,80,25.7,0.11,-35,-20,0.31
2023/06/24,02:30:05,17.07,003.2,6547,4,6,80,25.4,0.11,-35,-22,0.31
2023/06/24,02:45:05,17.28,003.3,6547,4,6,80,25.4,0.11,-34,-25,0.31
2023/06/24,03:00:05,17.32,003.4,6547,4,6,80,25.4,0.11,-32,-28,0.31
2023/06/24,03:15:05,18.08,004.0,6547,4,6,80,25.1,0.11,-31,-31,0.32
2023/06/24,03:30:05,17.92,003.9,6547,4,6,80,24.8,0.11,-29,-33,0.32
2023/06/24,03:45:05,17.29,003.4,6547,4,6,80,24.8,0.11,-28,-35,0.32
2023/06/24,04:00:05,18.33,004.2,6547,4,6,80,24.4,0.11,-26,-38,0.32
2023/06/24,04:15:05,17.87,003.9,6547,4,6,80,24.4,0.11,-24,-40,0.32
2023/06/24,04:30:05,17.13,003.2,6547,4,6,80,24.1,0.11,-22,-42,0.32
2023/06/24,04:45:05,17.02,003.1,6547,4,6,80,24.1,0.11,-19,-44,0.32
2023/06/24,05:00:05,17.28,003.3,6547,4,6,80,24.1,0.11,-17,-45,0.32
2023/06/24,05:15:05,17.39,003.4,6547,4,6,80,24.4,0.11,-14,-47,0.32
2023/06/24,05:30:05,16.86,003.0,6547,4,6,80,24.4,0.11,-12,-48,0.32
2023/06/24,05:45:05,16.28,002.4,6547,4,6,80,24.4,0.11,-09,-49,0.32
2023/06/24,06:00:05,13.75,000.0,6547,4,6,80,24.4,0.11,-06,-50,0.33
2023/06/24,06:15:05,10.31,-03.4,6547,4,6,80,24.4,0.11,-04,-50,0.33
2023/06/24,21:00:05,11.88,-01.8,6547,4,6,80,31.2,0.11,-05,+51,0.38
2023/06/24,21:15:05,15.51,001.7,6547,4,6,80,30.9,0.11,-08,+48,0.38
2023/06/24,21:30:05,17.71,003.7,6547,4,6,80,30.2,0.11,-10,+45,0.38
2023/06/24,21:45:05,18.42,004.3,6547,4,6,80,29.9,0.11,-13,+42,0.39
2023/06/24,22:00:05,18.53,004.4,6547,4,6,80,29.3,0.11,-15,+39,0.39
2023/06/24,22:15:05,18.56,004.4,6547,4,6,80,29.0,0.11,-18,+36,0.39
2023/06/24,22:30:05,18.57,004.4,6547,4,6,80,28.6,0.11,-20,+33,0.39
2023/06/24,22:45:05,18.59,004.5,6547,4,6,80,28.3,0.11,-22,+30,0.39
2023/06/24,23:00:05,18.62,004.5,6547,4,6,80,28.0,0.11,-25,+26,0.39
2023/06/24,23:15:05,18.63,004.5,6547,4,6,80,27.7,0.11,-27,+23,0.39
2023/06/24,23:30:05,18.67,004.5,6547,4,6,80,27.3,0.11,-28,+20,0.39
2023/06/24,23:45:05,18.67,004.5,6547,4,6,80,27.0,0.11,-30,+17,0.39
2023/06/25,00:00:05,18.69,004.5,6547,4,6,80,27.0,0.11,-32,+14,0.39
2023/06/25,00:15:05,18.73,004.6,6547,4,6,80,26.7,0.11,-33,+10,0.39
2023/06/25,00:30:05,18.74,004.6,6547,4,6,80,26.4,0.11,-34,+07,0.40
2023/06/25,00:45:05,18.74,004.6,6547,4,6,80,26.4,0.11,-35,+04,0.40
